node_count,ping_interval,distance_cm,local_sent_packets,remote_received_packets,location
2,800,500,24,24,forest
2,800,500,24,24,forest
2,800,500,24,24,forest
2,800,500,24,25,forest
2,800,800,24,14,forest
2,800,800,24,12,forest
2,800,800,24,25,forest
2,800,800,24,24,forest
2,800,800,24,24,forest
2,800,10000,24,13,forest
2,800,10000,24,5,forest
2,800,10000,24,22,forest
2,800,10000,24,38,forest
2,800,10000,24,9,forest
2,800,13000,24,11,forest
2,800,13000,24,18,forest
2,800,13000,24,18,forest
2,800,13000,24,5,forest
2,800,13000,24,3,forest
2,1300,150,15,15,forest
2,1300,150,15,16,forest
2,1300,150,15,16,forest
2,1300,150,15,14,forest
2,1300,150,15,16,forest
2,1300,300,15,15,forest
2,1300,300,15,16,forest
2,1300,300,15,16,forest
2,1300,300,15,15,forest
2,1300,300,15,16,forest
2,1300,500,15,12,forest
2,1300,500,15,16,forest
2,1300,500,15,16,forest
2,1300,500,15,14,forest
2,1300,500,15,15,forest
2,1300,800,15,11,forest
2,1300,800,15,13,forest
2,1300,800,15,16,forest
2,1300,800,15,15,forest
2,1300,800,15,15,forest
2,1300,10000,15,16,forest
2,1300,10000,15,11,forest
2,1300,10000,15,8,forest
2,1300,10000,15,12,forest
2,1300,10000,15,3,forest
2,1300,13000,15,15,forest
2,1300,13000,15,10,forest
2,1300,13000,15,20,forest
2,1300,13000,15,8,forest
2,1300,13000,15,0,forest
2,1300,16000,15,9,forest
2,1300,16000,15,14,forest
2,1300,16000,15,0,forest
2,1300,16000,15,0,forest
2,1300,16000,15,0,forest
2,1300,21000,15,0,forest
2,1300,21000,15,0,forest
2,1300,21000,15,6,forest
2,1300,21000,15,0,forest
2,1300,21000,15,0,forest
2,2100,150,9,10,forest
2,2100,150,9,9,forest
2,2100,150,9,9,forest
2,2100,150,9,10,forest
2,2100,150,9,9,forest
2,2100,300,9,10,forest
2,2100,300,9,10,forest
2,2100,300,9,10,forest
2,2100,300,9,9,forest
2,2100,300,9,10,forest
2,2100,500,9,7,forest
2,2100,500,9,10,forest
2,2100,500,9,10,forest
2,2100,500,9,10,forest
2,2100,500,9,10,forest
2,2100,800,9,7,forest
2,2100,800,9,8,forest
2,2100,800,9,10,forest
2,2100,800,9,10,forest
2,2100,800,9,10,forest
2,2100,10000,9,4,forest
2,2100,10000,9,5,forest
2,2100,10000,9,10,forest
2,2100,10000,9,5,forest
2,2100,10000,9,3,forest
2,2100,13000,9,9,forest
2,2100,13000,9,1,forest
2,2100,13000,9,6,forest
2,2100,13000,9,7,forest
2,2100,13000,9,8,forest
2,2100,16000,9,0,forest
2,2100,16000,9,3,forest
2,2100,16000,9,0,forest
2,2100,16000,9,3,forest
2,2100,16000,9,4,forest
2,2100,21000,9,0,forest
2,2100,21000,9,0,forest
2,2100,21000,9,0,forest
2,2100,21000,9,0,forest
2,2100,21000,9,0,forest
2,100,150,195,124,city
2,100,150,195,133,city
2,100,150,195,120,city
2,100,150,195,84,city
2,100,150,195,143,city
2,100,300,195,128,city
2,100,300,195,107,city
2,100,300,196,125,city
2,100,300,195,106,city
2,100,300,195,140,city
2,100,500,195,111,city
2,100,500,196,114,city
2,100,500,195,127,city
2,100,500,195,111,city
2,100,500,196,110,city
2,100,800,195,111,city
2,100,800,195,67,city
2,100,800,195,124,city
2,100,800,195,84,city
2,100,800,195,75,city
2,500,150,39,39,city
2,500,150,39,39,city
2,500,150,39,40,city
2,500,150,39,40,city
